station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/3/20 5:18,SCT,OVC,M,300,3400,M,RA BR
HUA,1/3/20 5:28,FEW,OVC,M,200,3400,M,#NAME?
HUA,1/3/20 5:38,SCT,OVC,M,400,4100,M,#NAME?
HUA,1/3/20 5:58,FEW,BKN,OVC,700,4700,6000,#NAME?
HUA,1/3/20 6:08,BKN,OVC,M,4700,6000,M,#NAME?
HUA,1/3/20 6:48,SCT,BKN,BKN,300,2400,3900,M
HUA,1/3/20 6:58,SCT,SCT,BKN,300,2400,3800,M
HUA,1/3/20 7:08,SCT,BKN,BKN,500,2400,3600,M
HUA,1/3/20 7:18,BKN,BKN,OVC,300,700,4900,#NAME?
HUA,1/3/20 7:38,SCT,BKN,OVC,300,3900,4800,#NAME?
HUA,1/3/20 7:58,FEW,BKN,BKN,300,700,4000,#NAME?
HUA,1/3/20 8:18,BKN,OVC,M,600,5000,M,#NAME?
HUA,1/3/20 8:38,BKN,OVC,M,200,700,M,BR
HUA,1/3/20 8:58,OVC,M,M,200,M,M,BR
HUA,1/3/20 9:58,OVC,M,M,200,M,M,BR
HUA,1/3/20 10:08,OVC,M,M,300,M,M,BR
HUA,1/3/20 10:18,OVC,M,M,300,M,M,BR
HUA,1/3/20 10:28,VV ,M,M,300,M,M,BR
HUA,1/3/20 10:33,OVC,M,M,300,M,M,BR
HUA,1/3/20 10:53,BKN,OVC,M,200,7000,M,BR
HUA,1/3/20 10:58,BKN,OVC,M,200,7000,M,BR
HUA,1/3/20 11:03,SCT,OVC,M,200,6500,M,BR
HUA,1/3/20 11:23,FEW,OVC,M,100,6000,M,BR
HUA,1/3/20 11:53,FEW,OVC,M,100,7000,M,BR
HUA,1/3/20 11:58,FEW,OVC,M,100,7000,M,BR
HUA,1/3/20 12:03,SCT,OVC,M,100,7000,M,BR
HUA,1/3/20 12:08,BKN,OVC,M,100,7500,M,BR
HUA,1/3/20 12:18,SCT,OVC,M,100,8000,M,BR
HUA,1/3/20 12:28,BKN,BKN,OVC,300,1200,8000,BR
HUA,1/3/20 12:33,BKN,BKN,OVC,500,1200,8000,BR
HUA,1/3/20 12:38,BKN,BKN,OVC,500,1200,8000,BR
HUA,1/3/20 12:58,VV ,M,M,700,M,M,BR
HUA,1/3/20 13:08,OVC,M,M,700,M,M,BR
